Style,Colour,Sweet,Hoppy,Sour,Spicy,,,,,,,,,
Sweet Stout,0.8,0.7,0.3,0,0.5,,,,,,,,,
India Pale Ale (IPA),0.6,0.6,0.8,0,0.6,,,,,,,,,
Scotch Ale,0.6,0.6,0.4,0,0.6,,,,,,,,,
German Hefeweizen,0.4,0.4,0.3,0,0.8,,,,,,,,,
Specialty Grain,0.5,0.5,0.4,0,0.8,,,,,,,,,
Cider,0,0.7,0,0,0.3,,,,,,,,,
American Pale Ale,0.5,0.6,0.7,0,0.6,,,,,,,,,
Baltic Porter,0.8,0.7,0.4,0,0.6,,,,,,,,,
Berliner Weisse,0.2,0.2,0.2,0.6,0.6,,,,,,,,,
Dunkelweizen,0.7,0.5,0.3,0,0.6,,,,,,,,,
Bohemian Pilsener,0.2,0.2,0.6,0,0.6,,,,,,,,,
Strong Pale Lager/Imperial Pils,0.4,0.7,0.7,0,0.6,,,,,,,,,
Traditional Ale,0.6,0.6,0.4,0,0.7,,,,,,,,,
Smoked,0.7,0.4,0.4,0,0.5,,,,,,,,,
Heller Bock,0.3,0.6,0.5,0,0.5,,,,,,,,,
Barley Wine,0.7,0.8,0.8,0,0.6,,,,,,,,,
Dunkler Bock,0.7,0.7,0.5,0,0.6,,,,,,,,,
English Pale Ale,0.4,0.5,0.5,0,0.6,,,,,,,,,
Fruit Beer,0.5,0.5,0.3,0,0.5,,,,,,,,,
Dortmunder/Helles,0.2,0.4,0.2,0,0.4,,,,,,,,,
Brown Ale,0.5,0.4,0.4,0,0.5,,,,,,,,,
Bière de Garde,0.3,0.4,0.3,0,0.8,,,,,,,,,
Pale Lager,0.1,0.2,0.1,0,0.3,,,,,,,,,
Golden Ale/Blond Ale,0.2,0.3,0.4,0,0.5,,,,,,,,,
English Strong Ale,0.7,0.7,0.5,0,0.6,,,,,,,,,
Vienna,0.7,0.5,0.4,0,0.6,,,,,,,,,
Oktoberfest/Märzen,0.6,0.5,0.4,0,0.5,,,,,,,,,
Schwarzbier,0.8,0.4,0.4,0,0.5,,,,,,,,,
Kölsch,0.2,0.3,0.4,0,0.5,,,,,,,,,
California Common,0.3,0.4,0.5,0,0.5,,,,,,,,,
Belgian Ale,0.4,0.6,0.5,0,0.7,,,,,,,,,
Zwickel/Keller/Landbier,0.3,0.3,0.4,0,0.5,,,,,,,,,
Mead,0.4,1,0,0,0,,,,,,,,,
